_id,_accuracy,__text
LF.13a.384.1,correct,Earth material get deposited and forms a delta.
LF.13a.394.1,correct,It goes to a different place.
LF.13a.404.1,correct,Earth material gets deposited to another place.
LF.13a.418.1,incorrect,They go to a different place.
LF.13a.419.1,incorrect,The materials like burst away.
LF.13a.435.1,incorrect,The earth materials that were weathered away by the erosion flow farther in water or just move away from where they were.
LF.13a.441.1,incorrect,During deposition earth materials are moved to different places.
LF.13a.444.1,correct,The eroded earth materials during deposition get deposited to a different area.
LF.13a.452.1,incorrect,The earth material gets worn away.
LF.13a.469.1,incorrect,The earth explains the and it will but it will explode.
LF.13a.477.1,incorrect,What happens to it is that the deposition goes more far away from the stream table.
LF.13a.478.1,incorrect,The earth material will break into little pieces.
LF.13a.504.1,incorrect,"First, erosion wears all the materials away. Then, deposition makes a v shaped valley."
LF.13a.515.1,correct,They go to the mouth of river and deposits there.
LF.13a.516.1,incorrect,"The socks, sand, and clay start to make a bigger canyon."
LF.13a.661.1,incorrect,The earth materials are carried away and dropped off at the end.
LF.13a.672.1,incorrect,The earth materials get carried away during deposition.
LF.13a.678.1,incorrect,Earth materials get carried away.
LF.13a.681.1,correct,During deposition earth materials would get carried away to a new location.
LF.13a.682.1,correct,Earth materials are washed away and settled to the bottom.
LF.13a.688.1,correct,Earth materials are washed downstream and then start to build up land.
LF.13a.705.1,correct,Deposition is when earth materials move from one.
LF.13a.717.1,incorrect,They are dark in new places.
LF.13a.732.1,incorrect,The earth materials that have been eroded is deposited at the mouth of a river or stream forming a delta.
LF.13a.744.1,incorrect,It is placed and left in deltas and riverbanks.
LF.13a.754.1,correct,After deposition earth material is carried out to river banks. Deltas form and into the ocean.
LF.13a.770.1,incorrect,The earth materials were broken down and separated.
LF.13a.780.1,correct,During deposition the materials are getting washed downstream and when the river comes to an opening they get deposited.
LF.13a.784.1,correct,During deposition earth materials get deposited into other places.
LF.13a.819.1,incorrect,The wearing down of earth material which will deposited.
LF.13a.820.1,correct,During deposition earth material settles to the bottom of a river.
LF.13a.823.1,incorrect,They are carried and stack upon each other and settle to the bottom.
LF.13a.850.1,incorrect,The earth materials is get carried off to the mouth of a river.
LF.13a.914.1,incorrect,During deposition earth materials are moved to a different place.
LF.13a.918.1,incorrect,What happens to earth material during deposition is that the materials are worn away from the earth.
LF.13a.924.1,correct,"During deposition earth material is deposited it formed deltas, a canyon, and a channel."
