_id,_accuracy,__text
MX.36b.136.1,correct,"Because after a while small bubbles appeared, but in the next day, bubbles, starting to be more eggshells were disappeared."
MX.36b.151.1,correct,She made a reaction because it started to bubble after a while.
MX.36b.181.1,correct,She made a reaction because bubbles appeared.
MX.36b.185.1,correct,She did make a reaction by saying that there was bubbles in the cup.
MX.36b.261.1,incorrect,The eggshells were gone.
MX.36b.267.1,correct,Grace thinks she made a reaction because bubbles appeared on the eggshells and that is what a reaction is.
MX.36b.282.1,correct,Because there are bubbles and the shells just disappeared.
MX.36b.381.1,incorrect,There was bubbles but just there was a gas.
MX.36b.387.1,correct,Because it was bubbles and fizzing.
MX.36b.389.1,correct,Because it started bubble.
MX.36b.425.1,correct,Because the eggshells bubbled then dissolved.
MX.36b.430.1,correct,Because it bubbled.
MX.36b.431.1,correct,Bubbles on the eggshells.
MX.36b.433.1,incorrect,Because there were bubbles.
MX.36b.436.1,correct,Because there was bubbles.
MX.36b.437.1,correct,The bubbles made a reaction.
MX.36b.462.1,correct,Because there were gas bubbles.
MX.36b.469.1,correct,Because she use eggshells and vinegar then small bubbles appeared then there were more bubbles the eggshells turned into a liquid.
MX.36b.486.1,correct,Because a reaction is where something combines and changes start which is a fizz or bubbles.
MX.36b.488.1,correct,Because there were a lot of bubbles. That one of the effects of a reaction.
MX.36b.490.1,correct,Because there were gas bubbles.
MX.36b.494.1,correct,It was a slow reaction but when it started to bubble and the shell dissolved it was a reaction.
MX.36b.495.1,correct,Because there was a lot of bubbles on the eggshell after she added the vinegar.
MX.36b.497.1,correct,Because she saw bubbles.
MX.36b.503.1,incorrect,Because she put eggshells in a cup and covered them with vinegar and after a couple of days she saw that they were gone.
MX.36b.504.1,correct,A few bubbles came. Gas.
MX.36b.525.1,incorrect,Because the egg shells disappeared.
MX.36b.537.1,correct,She made bubbles and that is a common sign of a reaction.
MX.36b.556.1,incorrect,Because she mix more there was fizz.
MX.36b.596.1,correct,Because there were more bubbles everyday.
MX.36b.597.1,correct,Because the eggshells bubbled and a few days later the eggshells were gone.
MX.36b.601.1,correct,She did make a reaction because she saw bubbles.
MX.36b.607.1,correct,Because it bubbled.
MX.36b.609.1,incorrect,Because it was gone.
MX.36b.611.1,correct,Because it had bubbles appearing.
MX.36b.612.1,correct,It bubbled that is why.
