_id,_accuracy,__text
II.13b.400.1,incorrect,One has it one way and the other one the different way.
II.13b.406.1,incorrect,One facing the other way.
II.13b.420.1,incorrect,They are different thumbs of people.
II.13b.428.1,incorrect,Is not the same.
II.13b.431.1,incorrect,The 2 loops is pointing in different directions.
II.13b.432.1,incorrect,They are facing different ways.
II.13b.442.1,incorrect,"Some are loop, arch, whorled."
II.13b.451.1,incorrect,One is going left the other is going right.
II.13b.460.1,correct,"One loop is on the left, the other loop is on the right."
II.13b.464.1,correct,The loops go in different directions.
II.13b.465.1,correct,One loop is coming from the left and the other one the right.
II.13b.470.1,incorrect,They have different shapes.
II.13b.474.1,correct,One is left the other is right.
II.13b.482.1,incorrect,They are facing different directions.
II.13b.486.1,incorrect,The loops are going different ways.
II.13b.495.1,incorrect,They are both facing a different direction.
II.13b.501.1,correct,They are going different directions.
II.13b.507.1,incorrect,One loop goes left and the other goes right.
II.13b.522.1,incorrect,One is going left and the same.
II.13b.532.1,incorrect,Because they are the same and they are loop.
II.13b.534.1,incorrect,The first finger look thinner than the 2 one.
II.13b.535.1,incorrect,They are not in the same place.
II.13b.540.1,correct,A has its loop on the left and right.
II.13b.541.1,incorrect,Answer and questions.
II.13b.576.1,incorrect,Loop are facing different direction.
II.13b.579.1,correct,They go different direction.
II.13b.581.1,incorrect,They one are in different directions.
II.13b.593.1,correct,The loops are coming from different sides.
II.13b.594.1,incorrect,They are facing different ways.
II.13b.597.1,incorrect,One of them is darker than the other.
II.13b.604.1,incorrect,One has more ridges.
II.13b.605.1,correct,They are facing different ways.
II.13b.606.1,incorrect,They are flipped around.
II.13b.613.1,incorrect,On the first one the middle is light and the second one is dark in the middle.
II.13b.616.1,incorrect,The first one a man print and the second kid.
