_id,_accuracy,__text
EM.16b.183.1,incorrect,Topaz is harder because it would be all no on the chart.
EM.16b.187.1,incorrect,Topaz is harder. Because topaz is the hardest birthstone.
EM.16b.189.1,correct,"Topaz is hard because you cannot scratch it with penny, fingernail or a paperclip."
EM.16b.279.1,incorrect,M to Z is harder than mineral X and Y.
EM.16b.284.1,incorrect,It is harder than X Y Z because we read about it this morning.
EM.16b.286.1,incorrect,It is harder than them.
EM.16b.288.1,correct,"It is harder than minerals X, Y, and Z because it cannot be scratched by either one."
EM.16b.321.1,incorrect,A topaz is compared to Z because it cannot be scratched with 2 thirds things. Y is all the opposite of topaz. X cannot be scratched with one third of a topaz cannot be scratched.
EM.16b.322.1,incorrect,The Topaz is the first hardest mineral out of the 3 on the chart.
EM.16b.387.1,incorrect,"Topaz is harder than all of them. It is just barely harder than Z, way harder than Y, and pretty harder than X."
EM.16b.388.1,correct,"Topaz is harder than X, Y, and Z because Topaz cannot be scratched by a fingernail, a penny, or a paperclip so it is the hardest."
EM.16b.398.1,incorrect,"Tied with mineral Y because they are both yes, yes, and yes."
EM.16b.403.1,incorrect,"Topaz would be all no's compared the minerals X, Y, and Z because topaz is one of the scratch free minerals."
EM.16b.419.1,correct,"Topaz is harder than minerals X, Y, and Z because Topaz cannot be scratched by a fingernail, penny or a paperclip. So it is harder."
EM.16b.431.1,incorrect,"It is a soft rock Z, I think it is the same as Y because they can both be scratched by everything. It is little bit hard to X."
EM.16b.493.1,correct,"Topaz is harder than X, Y, and Z because it cannot be scratched by a fingernail, a laser, or a paperclip."
EM.16b.494.1,correct,Topaz is the hardest out of all minerals because it did not get scratched by any tool.
EM.16b.495.1,incorrect,Like steel if you rub them and if it does not scratch.
EM.16b.497.1,correct,It is harder than all of the other minerals because it cannot get scratched by none of the scratching materials and all the other minerals can get scratched at least one time.
EM.16b.508.1,correct,"It is harder than X, Y, Z. I know it is harder than X, Y, and Z because nothing can scratch it."
EM.16b.521.1,incorrect,"Minerals X has 2 of them in a paperclip and penny. And the Y, Z and the minerals Y is the hardest in it."
EM.16b.527.1,correct,It is the hardest because it cannot be scratched by any of them and the others can be scratched with at least one of the minerals.
EM.16b.528.1,incorrect,Mineral Z can scratch topaz because mineral Z cannot be scratched by a penny or a fingernail but it can get scratched by a paperclip.
EM.16b.532.1,incorrect,"It is so strong that minerals X, Y, Z cannot break it."
EM.16b.538.1,incorrect,I know because when you break a rock that is when you know it is hard or not hard.
EM.16b.540.1,incorrect,"How it is compared to X, Y, and Z is that the finger and the penny cannot scratch mineral X and Z."
EM.16b.573.1,incorrect,I know it is Z because it has one yes and 2 no's.
EM.16b.576.1,incorrect,"Mineral Z cannot be scratched by penny, fingernail, and paperclip. Topaz cannot be scratched by anything."
EM.16b.606.1,incorrect,"Topaz has to have X, Y, Z as minerals."
EM.16b.608.1,incorrect,Because it is harder.
EM.16b.610.1,incorrect,I know because a fingernail cannot be scratched the most.
EM.16b.626.1,correct,"Topaz is the hardest because none of them can scratch it but at least one them can scratch X, Y, Z."
EM.16b.629.1,correct,Topaz would be the hardest because none of the tools could scratch it and at least one tool.
EM.16b.640.1,correct,Topaz would be hardest because none of the tools could scratch it and at least one tool could scratch X Y Z.
EM.16b.642.1,correct,It would be the hardest because none of the tools could scratch it.
EM.16b.648.1,correct,"Topaz would be hardest because none of the tools could scratch it and at least one tool could scratch X, Y, and Z."
