_id,_accuracy,__text
HB.43.136.1,incorrect,Has he held chilly to the arm.
HB.43.139.1,incorrect,The right hand was faster than the right foot because it takes longer for the brain to send the response to the foot than the hand.
HB.43.140.1,incorrect,Because the brain is closer to your hand than feet.
HB.43.144.1,incorrect,His right hand is faster than his foot because the stimuli takes longer to respond to the foot.
HB.43.145.1,incorrect,It is because Corey you are right handed you can write with your right hand.
HB.43.146.1,incorrect,Because the brain is closer to the hand and the left is not. Has close to the brain.
HB.43.147.1,correct,Well I know that your foot is farther away from your brain than your hand is so it takes longer for the brain to get it to the foot than hand.
HB.43.148.1,incorrect,Because your hand is closer to the brain than your foot is.
HB.43.150.1,incorrect,It is because the hand is closer to the brain than the foot or his brain is used to sending a message to the hand more often.
HB.43.172.1,incorrect,Your right hand is faster than your right foot.
HB.43.173.1,incorrect,Your right hand is faster than your right foot because eye hand coordination is better than your eye foot coordination.
HB.43.176.1,correct,Your hand is closer to the brain that is why it is faster than a lag.
HB.43.180.1,incorrect,He could move his hand better because his eye hand coordination is better than his eye foot coordination.
HB.43.183.1,incorrect,Corey has a better eye hand coordination than he has with his foot.
HB.43.209.1,correct,The hand is closer to the brain than to the foot so the pathway is shorter.
HB.43.210.1,incorrect,Because your brain and your hand is closer than your brain and your foot.
HB.43.211.1,correct,His foot is farther from his brain than his hand is so the brain tells his hand faster than his foot.
HB.43.213.1,incorrect,Corey's right hand is faster than his right because there is a shorter pathway for a message.
HB.43.215.1,incorrect,It is a shorter distance to your hand than your foot.
HB.43.219.1,incorrect,Because you can pull your hand back farther than your foot.
HB.43.245.1,incorrect,The reason Corey could not move his right foot as fast as his hand because his brain told him to move his right hand faster than his foot.
HB.43.246.1,incorrect,Corey's hand moves faster than his foot because it takes less time for the brain to tell your arm to move. It takes longer for your brain to tell your leg to move.
HB.43.249.1,incorrect,Because he is used to move his hand more often.
HB.43.253.1,correct,Corey's hand is faster because it processes quicker because Corey's foot is long way from his brain.
HB.43.255.1,incorrect,Corey's right hand moved faster because his eyes sent a message to his brain to tell him to move his hand or foot it takes a longer time to get to his foot than his hand.
HB.43.256.1,incorrect,Because hand is light to move and leg is heavy.
HB.43.257.1,incorrect,His right hand is faster because it takes longer for the message to get to his foot.
HB.43.259.1,incorrect,His hand easy but your foot it is hard to move when the cup drop.
HB.43.277.1,correct,"Your foot farther from your brain than your hand, so the hand can move faster than your foot."
HB.43.279.1,correct,His hand was faster because it is closer to the brain so it takes a shorter time to respond to the message.
HB.43.280.1,incorrect,Because his hands are closer to his brain.
HB.43.282.1,incorrect,"The hand is closer to the brain, and the foot is farther."
HB.43.283.1,correct,The hands are faster than the feet because your hands are closer to the brain so they will receive the message faster.
HB.43.285.1,incorrect,"Your hand is faster because your hand is closer to your brain, than your foot."
HB.43.287.1,correct,Well the right hand is closer to the brain than the foot to the brain so the message has to travel more less.
HB.43.291.1,correct,The stimulus can get to the hand faster because it does not have to travel so far.
HB.43.293.1,incorrect,It takes longer for a brain wave to travel to the foot than the hand.
HB.43.294.1,incorrect,Your nervous system is closer to your brain from your hand and your foot is farther away form your brain.
HB.43.311.1,correct,I think that your hand is closer to your brain than your foot that is less time for the nerve to get there and back.
HB.43.314.1,incorrect,Because your hand nerves are closer to your brain.
